n,time elapsed (ms)
248,0.000811
248,0.000781
248,0.000802
249,0.000832
249,0.000802
249,0.000812
250,0.000822
250,0.000811
250,0.001342
251,0.001252
251,0.001132
251,0.001062
252,0.001072
252,0.001011
252,0.001052
253,0.001032
253,0.001042
253,0.001032
254,0.001032
254,0.001353
254,0.001092
255,0.001062
255,0.001072
255,0.001011
256,0.001092
256,0.001062
256,0.001072
257,0.001112
257,0.001042
257,0.001012
258,0.001072
258,0.001042
258,0.001062
259,0.001072
259,0.001303
259,0.001132
260,0.001092
260,0.001202
260,0.001092
261,0.001062
261,0.001174
261,0.001102
262,0.001072
262,0.001173
262,0.001062
263,0.001062
263,0.001374
263,0.001163
264,0.001103
264,0.001202
264,0.001312
265,0.001053
265,0.001272
265,0.001092
266,0.001072
266,0.001132
266,0.001092
267,0.001062
267,0.001232
267,0.001092
268,0.001082
268,0.001122
268,0.001082
269,0.001093
269,0.001162
269,0.001082
270,0.001082
270,0.001162
270,0.001092
271,0.000872
271,0.000912
271,0.000881
272,0.000891
272,0.000911
272,0.000881
273,0.000891
273,0.000952
273,0.000892
274,0.000892
274,0.000922
274,0.000891
275,0.000872
275,0.000961
275,0.000892
276,0.000942
276,0.000942
276,0.000912
277,0.001042
277,0.001023
277,0.000931
278,0.000902
278,0.000972
278,0.000892
279,0.000912
279,0.000932
279,0.000902
280,0.000952
280,0.000941
280,0.000912
281,0.000902
281,0.000941
281,0.000892
282,0.000912
282,0.001042
282,0.000952
283,0.000941
283,0.001012
283,0.000922
284,0.000932
284,0.000962
284,0.001332
285,0.000932
285,0.001062
285,0.000941
286,0.000923
286,0.001143
286,0.000962
287,0.000952
287,0.001002
287,0.000922
288,0.116484
288,0.001182
288,0.000982
289,0.000932
289,0.000982
289,0.000942
290,0.000911
290,0.000982
290,0.000951
291,0.000972
291,0.000953
291,0.000942
292,0.000972
292,0.000992
292,0.000932
293,0.000921
293,0.000992
293,0.000932
294,0.000932
294,0.000992
294,0.000942
295,0.001062
295,0.001072
295,0.000982
296,0.000972
296,0.001022
296,0.000942
297,0.001182
297,0.001052
297,0.000982
298,0.000962
298,0.000972
298,0.000942
299,0.000952
299,0.001012
299,0.000992
300,0.000951
300,0.001011
300,0.000962
301,0.001342
301,0.001172
301,0.001002
302,0.000981
302,0.001032
302,0.000982
303,0.000962
303,0.001032
303,0.000982
304,0.000972
304,0.001002
304,0.000992
305,0.000972
305,0.001052
305,0.000992
306,0.000932
306,0.001072
306,0.001012
307,0.000971
307,0.001052
307,0.000962
308,0.000981
308,0.001052
308,0.000991
309,0.000972
309,0.001062
309,0.000991
310,0.000992
310,0.001042
310,0.000982
311,0.000992
311,0.001052
311,0.000972
312,0.001002
312,0.001012
312,0.000972
313,0.001002
313,0.001022
313,0.001002
314,0.000982
314,0.000992
314,0.000992
315,0.001003
315,0.001052
315,0.001032
316,0.001012
316,0.001022
316,0.000992
317,0.001012
317,0.001012
317,0.001022
318,0.000982
318,0.001032
318,0.000992
319,0.001002
319,0.001062
319,0.001002
320,0.001032
320,0.001062
320,0.001042
321,0.001012
321,0.001043
321,0.001002
322,0.001002
322,0.001032
322,0.001021
323,0.001022
323,0.001082
323,0.001012
324,0.001012
324,0.001042
324,0.001042
325,0.001011
325,0.001042
325,0.001022
326,0.001042
326,0.001042
326,0.001012
327,0.001082
327,0.001041
327,0.001021
328,0.001002
328,0.001082
328,0.001062
329,0.001082
329,0.001062
329,0.001062
330,0.001032
330,0.001323
330,0.001052
331,0.001052
331,0.001123
331,0.001052
332,0.001032
332,0.001062
332,0.001032
333,0.001042
333,0.001142
333,0.001052
334,0.001073
334,0.001113
334,0.001062
335,0.001052
335,0.001112
335,0.001042
336,0.001103
336,0.001112
336,0.001032
337,0.001082
337,0.001123
337,0.001082
338,0.001042
338,0.001062
338,0.001022
339,0.001072
339,0.001072
339,0.001062
340,0.001092
340,0.001142
340,0.001062
341,0.001052
341,0.001152
341,0.001062
342,0.001082
342,0.001202
342,0.001053
343,0.001103
343,0.055948
343,0.001152
344,0.001132
344,0.001142
344,0.001092
345,0.001102
345,0.001132
345,0.001072
346,0.001062
346,0.001152
346,0.001072
347,0.001092
347,0.001112
347,0.001102
348,0.001072
348,0.001103
348,0.001102
349,0.001082
349,0.001112
349,0.001072
350,0.001112
350,0.001142
350,0.001082
351,0.001103
351,0.001112
351,0.001082
352,0.001122
352,0.001143
352,0.001102
353,0.001102
353,0.001122
353,0.001102
354,0.044224
354,0.001203
354,0.001122
355,0.001092
355,0.001203
355,0.001102
356,0.001122
356,0.001142
356,0.001122
357,0.001122
357,0.001142
357,0.001122
358,0.001122
358,0.001162
358,0.001112
359,0.001142
359,0.001102
359,0.001102
360,0.001153
360,0.001143
360,0.001152
361,0.001122
361,0.001172
361,0.001122
362,0.001132
362,0.001172
362,0.001143
363,0.001143
363,0.001182
363,0.001142
364,0.001092
364,0.001262
364,0.001143
365,0.001123
365,0.001193
365,0.001133
366,0.001132
366,0.001172
366,0.001122
367,0.001142
367,0.001184
367,0.001212
368,0.001202
368,0.001172
368,0.001893
369,0.001132
369,0.001242
369,0.001152
370,0.001152
370,0.001182
370,0.001122
371,0.001172
371,0.001202
371,0.001112
372,0.001182
372,0.001172
372,0.001152
373,0.001153
373,0.001172
373,0.001173
374,0.001182
374,0.001212
374,0.001132
375,0.001152
375,0.001162
375,0.001172
376,0.001163
376,0.001182
376,0.001162
377,0.001162
377,0.001202
377,0.001173
378,0.001152
378,0.001193
378,0.001233
379,0.001212
379,0.001283
379,0.001173
380,0.001172
380,0.001223
380,0.001152
381,0.001182
381,0.001212
381,0.001182
382,0.001183
382,0.001232
382,0.001162
383,0.001192
383,0.001242
383,0.001182
384,0.001184
384,0.001223
384,0.001222
385,0.001192
385,0.001203
385,0.001192
386,0.001182
386,0.001182
386,0.001202
387,0.001203
387,0.001232
387,0.001182
388,0.001192
388,0.001232
388,0.001212
389,0.001232
389,0.001272
389,0.001232
390,0.001193
390,0.001282
390,0.001222
391,0.001152
391,0.001242
391,0.001192
392,0.001182
392,0.001272
392,0.001192
393,0.001202
393,0.001222
393,0.001222
394,0.001172
394,0.001262
394,0.001202
395,0.001212
395,0.001272
395,0.001203
396,0.001212
396,0.001283
396,0.001202
397,0.001232
397,0.001262
