n,time elapsed (ms)
812,0.002344
813,0.002435
814,0.002374
815,0.002365
816,0.002374
817,0.002335
818,0.002344
819,0.002395
820,0.002424
821,0.002444
822,0.002365
823,0.002435
824,0.002385
825,0.002414
826,0.002414
827,0.002384
828,0.002384
829,0.002385
830,0.002385
831,0.002385
832,0.002434
833,0.002425
834,0.002424
835,0.002404
836,0.002404
837,0.002685
838,0.002425
839,0.002414
840,0.002415
841,0.002415
842,0.002434
843,0.002515
844,0.002424
845,0.002475
846,0.002444
847,0.002465
848,0.002475
849,0.002485
850,0.002465
851,0.002424
852,0.002465
853,0.002505
854,0.002465
855,0.002485
856,0.002494
857,0.002475
858,0.002495
859,0.002505
860,0.002475
861,0.002495
862,0.002535
863,0.002495
864,0.002545
865,0.002495
866,0.002565
867,0.002544
868,0.002545
869,0.002525
870,0.002525
871,0.002544
872,0.002545
873,0.002535
874,0.002514
875,0.002645
876,0.002525
877,0.002516
878,0.002574
879,0.002535
880,0.002525
881,0.002535
882,0.002574
883,0.002585
884,0.002595
885,0.002545
886,0.002564
887,0.002565
888,0.002605
889,0.002565
890,0.002555
891,0.002585
892,0.002556
893,0.002555
894,0.002625
895,0.002565
896,0.002585
897,0.002605
898,0.002635
899,0.002624
900,0.002635
901,0.002595
902,0.002635
903,0.002615
904,0.002675
905,0.002595
906,0.002655
907,0.002605
908,0.002605
909,0.002645
910,0.002635
911,0.002625
912,0.002635
913,0.002645
914,0.003056
915,0.002715
916,0.002715
917,0.002636
918,0.002675
919,0.002676
920,0.002665
921,0.002655
922,0.002696
923,0.002645
924,0.002705
925,0.002765
926,0.002665
927,0.002665
928,0.002685
929,0.002655
930,0.002685
931,0.002695
932,0.002735
933,0.002665
934,0.002685
935,0.002715
936,0.002695
937,0.002725
938,0.002705
939,0.002745
940,0.002725
941,0.002755
942,0.002715
943,0.002685
944,0.002716
945,0.002736
946,0.002725
947,0.002745
948,0.002745
949,0.002746
950,0.002705
951,0.002725
952,0.002735
953,0.002735
954,0.002756
955,0.002746
956,0.002786
957,0.002785
958,0.002765
959,0.002775
960,0.002765
961,0.002756
962,0.002746
963,0.002766
964,0.003446
965,0.002796
966,0.002775
967,0.002815
968,0.002795
969,0.002807
970,0.002815
971,0.002796
972,0.002835
973,0.002795
974,0.002776
975,0.002795
976,0.002816
977,0.002795
978,0.002776
979,0.003717
980,0.002835
981,0.002846
982,0.002846
983,0.002816
984,0.002847
985,0.002866
986,0.002856
987,0.002855
988,0.002866
989,0.002846
990,0.002866
991,0.002955
992,0.002835
993,0.002835
994,0.002845
995,0.002846
996,0.002906
997,0.002825
998,0.002855
999,0.002876
1000,0.002945
1001,0.002855
1002,0.002876
1003,0.002876
1004,0.002896
1005,0.002915
1006,0.002915
1007,0.002876
1008,0.002935
1009,0.002926
1010,0.002877
1011,0.002895
1012,0.002875
1013,0.002896
1014,0.002936
1015,0.002935
1016,0.002935
1017,0.002906
1018,0.002906
1019,0.002936
1020,0.002916
1021,0.002956
1022,0.002966
1023,0.002925
1024,0.002945
1025,0.003917
1026,0.003377
1027,0.003005
1028,0.002945
1029,0.002946
1030,0.003036
1031,0.002985
1032,0.003095
1033,0.002995
1034,0.003016
1035,0.003156
1036,0.002985
1037,0.003066
1038,0.003035
1039,0.003386
1040,0.002985
1041,0.003357
1042,0.002966
1043,0.002976
1044,0.002996
1045,0.003016
1046,0.002986
1047,0.003006
1048,0.002986
1049,0.003026
1050,0.003057
1051,0.003005
1052,0.003006
1053,0.003396
1054,0.003016
1055,0.002986
1056,0.003016
1057,0.002986
1058,0.003005
1059,0.003025
1060,0.003016
1061,0.002996
1062,0.003015
1063,0.003016
1064,0.003056
1065,0.003086
1066,0.003075
1067,0.003056
1068,0.003016
1069,0.003025
1070,0.003037
1071,0.003035
1072,0.003046
1073,0.003036
1074,0.003045
1075,0.003096
1076,0.003056
1077,0.003046
1078,0.003046
1079,0.003115
1080,0.003055
1081,0.003065
1082,0.003075
1083,0.003256
1084,0.003076
1085,0.003077
1086,0.003096
1087,0.003086
1088,0.003075
1089,0.003116
1090,0.003146
1091,0.003136
1092,0.003126
1093,0.003176
1094,0.003146
1095,0.003186
1096,0.003116
1097,0.003136
1098,0.003167
1099,0.003196
1100,0.003176
1101,0.003126
1102,0.003156
1103,0.003126
1104,0.003196
1105,0.003126
1106,0.003126
1107,0.003126
1108,0.003166
1109,0.003206
1110,0.003166
1111,0.003166
1112,0.003156
1113,0.003167
1114,0.003226
1115,0.003155
1116,0.003196
1117,0.003166
1118,0.003206
1119,0.003156
1120,0.003516
1121,0.003176
1122,0.003226
1123,0.003206
1124,0.003166
1125,0.003186
1126,0.003237
1127,0.003226
1128,0.003206
1129,0.003206
1130,0.003236
1131,0.003216
1132,0.003287
1133,0.003246
1134,0.003196
1135,0.003216
1136,0.003207
1137,0.003216
1138,0.003226
1139,0.003226
1140,0.003226
1141,0.003256
1142,0.003226
1143,0.003286
1144,0.003246
1145,0.003266
1146,0.003306
1147,0.003306
1148,0.003277
1149,0.003257
1150,0.003276
1151,0.003256
1152,0.003316
1153,0.003267
1154,0.003286
1155,0.003286
1156,0.003246
1157,0.003276
1158,0.003266
1159,0.003296
1160,0.003296
1161,0.003346
1162,0.003297
1163,0.003306
1164,0.003316
1165,0.003298
1166,0.003316
1167,0.003327
1168,0.003366
1169,0.003366
1170,0.003316
1171,0.003337
1172,0.003296
1173,0.003336
1174,0.003387
1175,0.003327
1176,0.003327
1177,0.003347
1178,0.003397
1179,0.003386
1180,0.003396
1181,0.003377
1182,0.003356
1183,0.003346
1184,0.003386
1185,0.003406
1186,0.003386
1187,0.003376
1188,0.003356
1189,0.003356
1190,0.003346
1191,0.003356
1192,0.003376
1193,0.003346
1194,0.003367
1195,0.003356
1196,0.003357
1197,0.003366
1198,0.003377
1199,0.003386
1200,0.003376
1201,0.003397
1202,0.003377
1203,0.003396
1204,0.003396
1205,0.003396
1206,0.003397
1207,0.003417
1208,0.003427
1209,0.003457
1210,0.003486
1211,0.003867
1212,0.003568
1213,0.003587
1214,0.003878
1215,0.003888
1216,0.003466
1217,0.003557
1218,0.003587
1219,0.003887
1220,0.003447
1221,0.003477
1222,0.003697
1223,0.003517
1224,0.003526
1225,0.003507
1226,0.003527
1227,0.003657
1228,0.003466
1229,0.003476
1230,0.003507
1231,0.003487
1232,0.003497
1233,0.003497
1234,0.003496
1235,0.003536
1236,0.003496
1237,0.003526
1238,0.003516
1239,0.003547
1240,0.003908
1241,0.003497
1242,0.003517
1243,0.003576
1244,0.003507
1245,0.003737
1246,0.003596
1247,0.003527
1248,0.003517
1249,0.003576
1250,0.003978
1251,0.003546
1252,0.003537
1253,0.003687
1254,0.004017
1255,0.003567
1256,0.003587
1257,0.003596
1258,0.003527
1259,0.003576
1260,0.003547
1261,0.003546
1262,0.003548
1263,0.003566
1264,0.003557
1265,0.003536
1266,0.003537
1267,0.003606
1268,0.003547
1269,0.003536
1270,0.003617
1271,0.003626
1272,0.004038
1273,0.003617
1274,0.003617
1275,0.003607
1276,0.003637
1277,0.003627
1278,0.003577
1279,0.003627
1280,0.003637
1281,0.003657
1282,0.003617
1283,0.004108
1284,0.003646
1285,0.003607
1286,0.003637
1287,0.003647
1288,0.003617
1289,0.003636
1290,0.003618
1291,0.003647
1292,0.003648
1293,0.003616
1294,0.003687
1295,0.003636
1296,0.003657
1297,0.003687
1298,0.003696
1299,0.003667
1300,0.003697
1301,0.003647
1302,0.003647
1303,0.003677
1304,0.003656
1305,0.003678
1306,0.003667
1307,0.003677
1308,0.003657
1309,0.003677
1310,0.003657
1311,0.003656
1312,0.003667
1313,0.003667
1314,0.003686
1315,0.003696
1316,0.003688
1317,0.003697
1318,0.003687
1319,0.003687
1320,0.003737
1321,0.003717
1322,0.003857
1323,0.003727
1324,0.003747
1325,0.003717
1326,0.003747
1327,0.003768
1328,0.003757
1329,0.003747
1330,0.003757
1331,0.003777
1332,0.003767
1333,0.003787
1334,0.003757
1335,0.003747
1336,0.003787
1337,0.003747
1338,0.003798
1339,0.003808
1340,0.003737
1341,0.003797
1342,0.003777
1343,0.003767
1344,0.003787
1345,0.003817
1346,0.003827
1347,0.003778
1348,0.003828
1349,0.003777
1350,0.003777
1351,0.003827
1352,0.003798
1353,0.003807
1354,0.003817
1355,0.003847
1356,0.003828
1357,0.003817
1358,0.003787
1359,0.003807
1360,0.003858
1361,0.004067
1362,0.003808
1363,0.003837
1364,0.003827
1365,0.003857
1366,0.003797
1367,0.003848
1368,0.003837
1369,0.003838
1370,0.003817
1371,0.003847
1372,0.003867
1373,0.003837
1374,0.003847
1375,0.003847
1376,0.003847
1377,0.003827
1378,0.003858
1379,0.003847
1380,0.003867
1381,0.003847
1382,0.003857
1383,0.003848
1384,0.003917
1385,0.003918
1386,0.003917
1387,0.003867
1388,0.003928
1389,0.003897
1390,0.003958
1391,0.003917
1392,0.008427
1393,0.003908
1394,0.003888
1395,0.003928
1396,0.003947
1397,0.003927
1398,0.003898
1399,0.003907
1400,0.003927
1401,0.003927
1402,0.003927
1403,0.003987
1404,0.003937
1405,0.003957
1406,0.004148
1407,0.003948
1408,0.003947
1409,0.003957
1410,0.003928
1411,0.003988
1412,0.003937
1413,0.003947
1414,0.003948
1415,0.003987
1416,0.003998
1417,0.004028
1418,0.004028
1419,0.004198
1420,0.003968
1421,0.004188
1422,0.003998
1423,0.004057
1424,0.003987
1425,0.004008
1426,0.003987
1427,0.004008
1428,0.003968
1429,0.004128
1430,0.004007
1431,0.004018
1432,0.00452
1433,0.004008
1434,0.004008
1435,0.004208
1436,0.004027
1437,0.004047
1438,0.004017
1439,0.004007
1440,0.004027
1441,0.004027
1442,0.004048
1443,0.004058
1444,0.004028
1445,0.004047
1446,0.004058
1447,0.005109
1448,0.004669
1449,0.004128
1450,0.004068
1451,0.004568
1452,0.004077
1453,0.004068
1454,0.004608
1455,0.004339
1456,0.004077
1457,0.004579
1458,0.004599
1459,0.004348
1460,0.004088
1461,0.004087
1462,0.004608
1463,0.004138
1464,0.004138
1465,0.004109
1466,0.004148
1467,0.004128
1468,0.004107
1469,0.004137
1470,0.004088
1471,0.004077
1472,0.004117
1473,0.004128
1474,0.004118
1475,0.004179
1476,0.004117
1477,0.004118
1478,0.004148
1479,0.004127
1480,0.004248
1481,0.004248
1482,0.004118
1483,0.004127
1484,0.004148
1485,0.004188
1486,0.004148
1487,0.004168
1488,0.004147
1489,0.004188
1490,0.004189
1491,0.004178
1492,0.004167
1493,0.004198
1494,0.004218
1495,0.004159
1496,0.004188
1497,0.004178
1498,0.004208
1499,0.004208
1500,0.004219
1501,0.004178
1502,0.004258
1503,0.004228
1504,0.004238
1505,0.004238
1506,0.004228
1507,0.004188
1508,0.004238
1509,0.004218
1510,0.004238
1511,0.004208
1512,0.004248
1513,0.004248
1514,0.004258
1515,0.004228
1516,0.004238
1517,0.004268
1518,0.004248
1519,0.004228
1520,0.004208
1521,0.004259
1522,0.004228
1523,0.004278
1524,0.004258
1525,0.004248
1526,0.004278
1527,0.004248
1528,0.004308
1529,0.004288
1530,0.004258
1531,0.004358
1532,0.004288
1533,0.004328
1534,0.00431
1535,0.004308
1536,0.004298
1537,0.004359
1538,0.004298
1539,0.004328
1540,0.004278
1541,0.004298
1542,0.004309
1543,0.007544
1544,0.004339
1545,0.004308
1546,0.004308
1547,0.004378
1548,0.004328
1549,0.004338
1550,0.004298
1551,0.004328
1552,0.004318
1553,0.004339
1554,0.004339
1555,0.004338
1556,0.004378
1557,0.004378
1558,0.004408
1559,0.004368
1560,0.004348
1561,0.004378
1562,0.004338
1563,0.004438
1564,0.004408
1565,0.004409
1566,0.004398
1567,0.004368
1568,0.004409
1569,0.004388
1570,0.004439
1571,0.004408
1572,0.004409
1573,0.004398
1574,0.004428
1575,0.004419
1576,0.004408
1577,0.004408
1578,0.006402
1579,0.005621
1580,0.005611
1581,0.005541
1582,0.00554
1583,0.008806
1584,0.005551
1585,0.00554
1586,0.005561
1587,0.005531
1588,0.006282
1589,0.00562
1590,0.005571
1591,0.00561
1592,0.004468
1593,0.004509
1594,0.004498
1595,0.004468
1596,0.004499
1597,0.004469
1598,0.004469
1599,0.004518
1600,0.004529
1601,0.004529
1602,0.004629
1603,0.004498
1604,0.005099
1605,0.004508
1606,0.004498
1607,0.004489
1608,0.004509
1609,0.00453
1610,0.004508
1611,0.004518
1612,0.004559
1613,0.004558
1614,0.004558
1615,0.004508
1616,0.004508
1617,0.004508
1618,0.004528
1619,0.004548
1620,0.004549
1621,0.004539
1622,0.004549
1623,0.004589
1624,0.004558
1625,0.004538
1626,0.004579
1627,0.004548
1628,0.004559
1629,0.004559
1630,0.004589
1631,0.004588
1632,0.004589
1633,0.004548
1634,0.004579
1635,0.004598
1636,0.004589
1637,0.004569
1638,0.004568
